VideoID,VideoDescription,HashTags,PlayCount,CommentCount,ShareCount,VideoPlayAddr,VideoDownloadAddr,MusicID,AuthorID,DatePosted,DateFetched
7198199504405843205,Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 #gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,"['gramps', 'mschf', 'streetwear', 'fashion', 'styling', 'outfit', 'astroboy']",105300000,114400,338200,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oAI4BAtbk8UQDJIvCVoSInfhhxCEKxlFz0gpAA/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=1650&bt=825&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoTyAXQ_vjo9vsAhLrus&mime_type=video_mp4&qs=0&rc=Z2ZmZDwzNGVmOGk7aTg7aUBpajdkOTQ6ZmRsaTMzNzczM0AuMi0zNGMvXjAxMF4wM18zYSMuYm5wcjRvNWZgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843978&l=202310090332378E01595C9E739DE685B9&ply_type=2&policy=2&signature=778a68cce24be24ad76bde66d010c576&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/ogFCg8VkgUApECvbnbJIltQ7DohB4Az7xISIQf/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=1724&bt=862&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoTyAXQ_vjo9vsAhLrus&mime_type=video_mp4&qs=0&rc=NzY4aWk7NDs7PDs2Z2VnaEBpajdkOTQ6ZmRsaTMzNzczM0AyYzM1YjItNmIxXl4uLi0yYSMuYm5wcjRvNWZgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843978&l=202310090332378E01595C9E739DE685B9&ply_type=2&policy=2&signature=58188cf8149c1140e359e16a692f7180&tk=tt_chain_token,7099522931209816066,HOTEL LOBBY (Unc & Phew),jaadiee,2023-02-09 16:50:28+00:00,1696822354
7017520592807103749,Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ #disney #sewing #fashion #diy,"['sewing', 'fashion', 'diy', 'disney']",94800000,76600,82500,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/610b13bd1b414337991fc768febb3ac6/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=3168&bt=1584&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoTyAXQ_vjOVZsAhLrus&mime_type=video_mp4&qs=0&rc=Njg0Ozs4Ozw8OjM2OTYzZEBpamh0ZmU6ZmttODMzNzczM0AtXzA2YS0yNTExMF82Y15hYSMzbW5xcjRfb2VgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696844010&l=202310090332375D50A6F9E1D3B3E8D2F1&ply_type=2&policy=2&signature=37c7850af32bd548dc0ea8f9684b1c88&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/a3aa814fc4884de88d8d78a385891eea/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=3126&bt=1563&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoTyAXQ_vjOVZsAhLrus&mime_type=video_mp4&qs=0&rc=aWQ2ZDVmNjs1aTpoM2g2NEBpamh0ZmU6ZmttODMzNzczM0AtNWA0MWJjXzIxXjI2YjJiYSMzbW5xcjRfb2VgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696844010&l=202310090332375D50A6F9E1D3B3E8D2F1&ply_type=2&policy=2&signature=5cb2d911b490c463ce8ee652222d613d&tk=tt_chain_token,6731977473061292033,"Try Everything (From ""Zootopia"")",_valentinemoon_,2021-10-10 19:23:57+00:00,1696822354
7248033321270136070,❤️ so proud of this project !  #craft #fashion #diy #beadedjewelry  ,"['fashion', 'diy', 'beadedjewelry', 'craft']",56500000,54100,83400,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/oc4C4ngcie4gABJjTkWnVNQFqDQgbBMnofirKz/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=3024&bt=1512&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmobyAXQ_vjsLhsAhLrus&mime_type=video_mp4&qs=0&rc=ZjxlOzZoZGc8NTkzPDg2PEBpMzk6cWU6ZjxybDMzNzgzM0BfYi81MS8xNTYxLy5iNC5jYSM1bC41cjRvaWNgLS1kLzZzcw%3D%3D&btag=e00008000&expire=1696843973&l=20231009033238083B8B1177B06ECDC817&ply_type=2&policy=2&signature=fe81032be1e92862395cd8d897bcb7a6&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/ocTFDBAe4QyWkVgQiICnMqI4Jginnb2BJrOk4f/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=3150&bt=1575&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmobyAXQ_vjsLhsAhLrus&mime_type=video_mp4&qs=0&rc=ZTdpNjw8Nzw4ZTY7NWY3OkBpMzk6cWU6ZjxybDMzNzgzM0BeYl4vYzBiNjUxMzQuMzMuYSM1bC41cjRvaWNgLS1kLzZzcw%3D%3D&btag=e00008000&expire=1696843973&l=20231009033238083B8B1177B06ECDC817&ply_type=2&policy=2&signature=46943bf6b80d5942d28627cca18fb8ac&tk=tt_chain_token,7245176952196909058,Attention,quentaloup,2023-06-23 23:51:08+00:00,1696822354
6865297338781519110,Grateful Gramps 👴🏻💛 #gramps #opa #streetwear #fashion #drake #mode #makeover,"['mode', 'makeover', 'zimowylook', 'gramps', 'opa', 'streetwear', 'fashion', 'drake']",60900000,61800,188700,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/036fbc5b94aa497c9285abb47e9cb251/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=1866&bt=933&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo9yAXQ_vju6LsAhLrus&mime_type=video_mp4&qs=0&rc=M2Y5OjdlaDNnPDNmN2g7ZEBpajRsajx0bHk5dzMzMzczM0A2XmAzNC5fNi0xYl80LjNfYSNgZV5sLS1rcjBfLS0zMTZzcw%3D%3D&btag=e00008000&expire=1696843972&l=20231009033238AEA3E529BD3158E65C33&ply_type=2&policy=2&signature=bc70258bcb382854bb9430b4c196b821&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/cf44cb523d304ee9bad7b12f688ce508/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=1986&bt=993&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo9yAXQ_vju6LsAhLrus&mime_type=video_mp4&qs=0&rc=PDdoZzc6OjpmNjRoZGk8OEBpajRsajx0bHk5dzMzMzczM0BfXy0yMjYzNmAxMDZgY2E0YSNgZV5sLS1rcjBfLS0zMTZzcw%3D%3D&btag=e00008000&expire=1696843972&l=20231009033238AEA3E529BD3158E65C33&ply_type=2&policy=2&signature=bdf4a3926c55a81dda4f56636bdbafff&tk=tt_chain_token,6851526062120110854,Know Yourself,jaadiee,2020-08-26 14:20:04+00:00,1696822354
6939314340780625158,slime looks good on ya @charlidamelio 💚 #kca #slime #charlidamelio #surprise #fashion #slimed,"['slime', 'charlidamelio', 'surprise', 'fashion', 'kca', 'slimed']",56700000,98200,179400,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/5e751a5c8c5c4a0485603905c3fbf619/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=5280&bt=2640&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo9yAXQ_vjBm8sAhLrus&mime_type=video_mp4&qs=0&rc=OTs4Ozw3aTo6OGZlZmc0O0BpMzM3dDt4Om9wNDMzZzgzM0BiY2IwM2I2NjExMl5jY19fYSMwa29vaW9nXjNgLS0xLzZzcw%3D%3D&btag=e00008000&expire=1696843975&l=202310090332399DBEA90D666FB5BCEE28&ply_type=2&policy=2&signature=e9630b23b26ea948ce3c006f6fcab4cc&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/a8884fc72bc84d959535f1113243b0da/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=5330&bt=2665&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo9yAXQ_vjBm8sAhLrus&mime_type=video_mp4&qs=0&rc=Njg8OThmZDo1OGc3Zmk4Z0BpMzM3dDt4Om9wNDMzZzgzM0BgYGFeMTFeNTUxM2FgM2E0YSMwa29vaW9nXjNgLS0xLzZzcw%3D%3D&btag=e00008000&expire=1696843975&l=202310090332399DBEA90D666FB5BCEE28&ply_type=2&policy=2&signature=8089d2409eb0173370c4fab003744b78&tk=tt_chain_token,6939314191018855174,original sound,nickelodeon,2021-03-14 01:23:48+00:00,1696822354
7199683549602073862,Ready for their date 🥹💐  #grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,"['valentinesday', 'grandparents', 'streetwear', 'style', 'gramps', 'sepatuguenih', 'date', 'fashion', 'grwm', 'vday']",47900000,78800,256800,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/oUhqjN9RHISDIbCVaC1eDDODUNnQNcAHegb7hf/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2068&bt=1034&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo2yAXQ_vjCWusAhLrus&mime_type=video_mp4&qs=0&rc=O2Y0OTVmaDY2NzY1Mzs6aUBpajRuaWQ6ZnE5aTMzNzczM0BjNWAyNF9fNTIxNl9eLTMvYSNyY21ncjRnZ2lgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843987&l=202310090332403BA99A0FA8B6E0BC0FB2&ply_type=2&policy=2&signature=b5a1acc1eb44354d75eb80ff704d937e&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/oYPCOCPe5NH811Utejs0ACeI3UohRSA2gHN53H/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2106&bt=1053&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo2yAXQ_vjCWusAhLrus&mime_type=video_mp4&qs=0&rc=NTRlNWdpZjg4NWk2NmQ6OkBpajRuaWQ6ZnE5aTMzNzczM0A2XzIyLWNgXzYxM19jLTEyYSNyY21ncjRnZ2lgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843987&l=202310090332403BA99A0FA8B6E0BC0FB2&ply_type=2&policy=2&signature=d48094d10825524cdfbbf359b4ef0c97&tk=tt_chain_token,7112810849491831579,Love songX,jaadiee,2023-02-13 16:49:19+00:00,1696822354
7245292089494277382,,"['мырядом', 'ရောက်ပါစေfyp', 'cleanhome', 'cine', 'ai逐幀動畫', 'petoftiktok', 'f', 'lollapalooza', 'олячубарова', 'meditation', 'firstreel', 'genzemployee', 'bestfriend', 'teslaphone', 'aapiheritagemonth', 'mentalhealth', 'lyrics', 'familyfirst', 'teslaphonemodelpi', 'OlsaSüperOlur', 'tiktoknow', 'techtok', 'tiktokcomedyclub', 'tiktok', 'mylife', 'rag', 'weightlosssurgery', 'ai繪畫', 'ดูทีวีกด33', 'scream', 'rap', 'tesla', 'theweeknd', 'korean', 'philippines', 'cardiology', 'viewers', 'guessthemovie', 'beautytips', 'youbelonghere', 'celular', 'swipeouthate', 'спасибомедикам', '🐻', 'techtokbrasilbrasil', 'cat', 'wellness', 'fypage', 'techtokbr', 'tiktokfashion', 'livehighlights', 'ပြစရာရှိတာပြမယ်', 'styleblog', 'beritaditiktok', 'kimmy_kimberley', 'safertogether', 'radenrakhadpp', 'toptips', 'chawsuthwe', 'олимпийскийдух', 'dancemoms', 'smartphones', 'juniorh', 'bff', 'celulartesla', 'capcut', 'หมอหลวง', 'nationalbestfriendday', 'elonmusk', 'plz', 'tiktokmusicsummit?', 'fakescene⚠️', 'ch3thailand', 'amarbangladesh', 'fashion', 'cheesepeople', 'corecore', 'bbb23', 'fitness', 'ai', 'bbb', 'sixnationsrugby', 'euro2020', 'friendshipgoals', 'mentalhealthawarenessmonth', 'ajkernari', 'celularandroid', 'apifamily', 'afterhours', '音樂', 'barbiecoredecor', 'trending', '花點時間看春天', 'aapimonth', 'techtokbrasrasil', 'mario_mm38', 'batman', 'dailyuse', 'reels', 'family', 'ดูมือถือกด3plus', 'degiracontiktok', 'comedia', 'pridemonth', 'givemethemic', 'household', 'viraltiktok', 'magic5', 'cleaner', 'celulares', 'womenoftiktok', 'viral', 'dog', 'ldtd', 'beauty', 'tiktoksparksgood', 'missgrandthailand', '1m', 'มาริโอ้', 'foryourpride', 'speedup', 'smartphone', 'uaaa', 'celulares2022', 'foryoufest', 'cute', 'tecnologia', 'historiasdevida', 'serunyagayabareng', 'valentinesday', 'vtvcab', 'friendship', 'corridostumbados', 'musica', 'pet', 'exercises', 'elonmusktesla', 'godness', 'ai逐幀', 'tiktokeuro2020', 'смахнихейт', 'halloweenbattle', 'fruitparty', 'fruit', 'techtokbrazil', 'serunyabareng', 'noticias', 'foryourpage', 'jewelry', 'cannes', 'selfcare', 'tiktoktrendreport', 'techtokbrasill', 'césar2023', 'fypシ゚viral', 'youtoo', 'celular2022', 'คิมเบอร์ลี่', 'tiktokshortfilm']",113500000,21900,65100,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/osbkeLR8ENnj6YYDw5eJSQJdB8hkoQBEHMgJIA/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2420&bt=1210&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo2yAXQ_vjOGZsAhLrus&mime_type=video_mp4&qs=0&rc=ODNpOjU8N2g0aTU7PDk1M0BpMzluNzU6Zm46bDMzNzczM0BjYmIuYi01NTQxYTU2Yi9iYSNjX2cvcjRnMTNgLS1kMTZzcw%3D%3D&btag=e00010000&expire=1696844072&l=202310090332408FD7EA71994837BCFC92&ply_type=2&policy=2&signature=6a9dc0ff7dac2d44b3fd2b00557695ef&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/og2D6cLvIIEEJWjBMMznbBeRJSAeQnHQSOqkEk/?a=1988&ch=0&cr=3&dr=0&lr=tiktok&cd=0%7C0%7C1%7C3&cv=1&br=2720&bt=1360&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo2yAXQ_vjOGZsAhLrus&mime_type=video_mp4&qs=0&rc=NWlnOjtoOjVkZjVnZjg8NEBpMzluNzU6Zm46bDMzNzczM0BgMzAzMGIyXy4xNDZiMzU1YSNjX2cvcjRnMTNgLS1kMTZzcw%3D%3D&btag=e00010000&expire=1696844072&l=202310090332408FD7EA71994837BCFC92&ply_type=2&policy=2&signature=d70d29973a8e78fe5b13d6df4719be74&tk=tt_chain_token,7233379369090353926,原聲 - 🐻☁️💛,blue_bear_tv0,2023-06-16 14:33:44+00:00,1696822354
7204888387323530501,@AVAVAV Fashion Show  #milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,"['fashion', 'tiktokfashion', 'milanfashionweek', 'fail', 'fashionfail', 'fashionweek', 'funny', 'lol']",123900000,31000,60200,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/ooI8UQFlG50eAtzPwfX3tV3AxeKRehDAkEc9Ex/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2746&bt=1373&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo_yAXQ_vjA7ZsAhLrus&mime_type=video_mp4&qs=0&rc=ZzlpPDY1OjZnODk4ZGRlOkBpam9qM2Q6ZmloaTMzNzczM0AvLTMtLV4uXjMxYy42NWIwYSNsNTNscjRfY3JgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843982&l=20231009033241700BB7DEDD5CDDBD50E1&ply_type=2&policy=2&signature=1392acc7d37de94d459b2fdef4a68c54&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/oYPIRtMxhfAw4eQAUGQzke0EcV5DeKP8BFAtE9/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2846&bt=1423&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo_yAXQ_vjA7ZsAhLrus&mime_type=video_mp4&qs=0&rc=ODU4OmVkaGY4MzhmOmRlaUBpam9qM2Q6ZmloaTMzNzczM0BgMGNgLTMvNS0xLjE0Y18tYSNsNTNscjRfY3JgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696843982&l=20231009033241700BB7DEDD5CDDBD50E1&ply_type=2&policy=2&signature=3b3fccbcc02046d6dbc1ff3c8576764d&tk=tt_chain_token,6763841249553156097,Benny Hill Theme,hahahallberg,2023-02-27 17:26:44+00:00,1696822354
6916914133887716613,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,"['laugh', 'model', 'love', 'fashion', 'goodvibes', 'dress', 'happy', 'designer', 'jokes', 'ootd', 'gown']",44300000,15400,12900,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/aeea1a68442e45f1b6dab93376413acc/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2536&bt=1268&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoSyAXQ_vjOqLsAhLrus&mime_type=video_mp4&qs=0&rc=NDhoMzg0PDk6ZGUzOjU3OUBpMzdkcnlpZmx3eTMzZDczM0A1NTFhLV81Xy0xMC4yLS5eYSNiYmUxLmJmLnJfLS02MTZzcw%3D%3D&btag=e00008000&expire=1696843995&l=202310090332428E01595C9E739DE687AA&ply_type=2&policy=2&signature=89c47f875efd915f24c7877508fca03a&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/da6a1d6a7a1a4784989bbef94eb87a99/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2506&bt=1253&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoSyAXQ_vjOqLsAhLrus&mime_type=video_mp4&qs=0&rc=NTYzaDU0NmY8aWk0PDVmNUBpMzdkcnlpZmx3eTMzZDczM0AuXmIxXjYwNV4xLjMwX2IvYSNiYmUxLmJmLnJfLS02MTZzcw%3D%3D&btag=e00008000&expire=1696843995&l=202310090332428E01595C9E739DE687AA&ply_type=2&policy=2&signature=a69831bf21416585af1776b1509a8559&tk=tt_chain_token,6916914115512453893,original sound,deannagiulietti,2021-01-12 16:39:47+00:00,1696822354
6930038872109812998,"🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) #frogtok #fashion #diy #frog","['frogtok', 'fashion', 'diy', 'frog']",34300000,69000,50900,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/cc6df8c73df24701a25cd906fff221f7/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2520&bt=1260&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoSyAXQ_vj..8sAhLrus&mime_type=video_mp4&qs=0&rc=NmhoNzszOjxkNWY3Zzc5OUBpamt2amlmcDs6MzMzNDczM0BgMS00LjZeNWExMjQwLWMtYSNsMGNfbl9qMGpgLS0uMTZzcw%3D%3D&btag=e00008000&expire=1696843982&l=202310090332428FD7EA71994837BCFD0E&ply_type=2&policy=2&signature=bc5acc9ac39efd1bfff42dabf1ad1fb2&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/f958838fb8c944caa6ff836afe30f91f/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2488&bt=1244&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoSyAXQ_vj..8sAhLrus&mime_type=video_mp4&qs=0&rc=ODNkOWVpNTU1OGU8aWU6ZUBpamt2amlmcDs6MzMzNDczM0A1NTQyYzZjXzMxXzEuYDUwYSNsMGNfbl9qMGpgLS0uMTZzcw%3D%3D&btag=e00008000&expire=1696843982&l=202310090332428FD7EA71994837BCFD0E&ply_type=2&policy=2&signature=31f802362191678107fc4a6845d6d5c4&tk=tt_chain_token,6751217497585747970,Campus,crescentshay,2021-02-17 01:30:26+00:00,1696822354
